1576550405
10001:58,laundry,0 1 2 3 4 5 6 7,0 7,
10001:60,cinema,0 1 2 3 4 5 6,0 6,
10001:62,bar & pub,0 1 2 3 4 5 6 7 8 9,0 3 4 5 6 9,
10001:63,post office,0 1 2 3 4 5 6 7 8 9 10 11,0 4 5 11,
10001:71,gas station,0 1 2 3 4 5 6 7 8 9 10 11,0 3 4 11,
10001:73,amusement park,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0 9 10 14,
10001:92,convenience store,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,0 11 12 17,
10001:98,food market,0 1 2 3 4 5 6 7 8 9 10 11,0 4 5 11,
10001:104,botanical garden,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,0 9 10 16,
10001:109,temple,0 1 2 3 4 5 6,0 6,
10001:110,church,0 1 2 3 4 5 6,0 6,
10001:111,mosque,0 1 2 3 4 5 6,0 6,
10001:131,clinic,0 1 2 3 4 5 6,0 6,
10001:132,emergency center,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,0 9 10 16,
10001:137,court,0 1 2 3 4 5,0 5,
10001:138,tv station,0 1 2 3 4 5 6 7 8 9 10,0 2 3 10,
10001:176,airport terminal,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,0 7 8 16,
10007:166,dessert shop,0 1 2 3 4 5 6 7 8 9 10 11 12,0 7 8 12,
10007:167,teahouse,0 1 2 3 4 5 6 7 8,0 8,
10007:170,dental hospital,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,0 6 7 15,
10007:171,swimming pool,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 8 9 13,
10007:172,bowling alley,0 1 2 3 4 5 6 7 8 9 10 11 12 13,0 7 8 13,
10007:176,art museum,0 1 2 3 4 5 6 7 8 9 10,0 3 4 10,
10007:177,planetarium,0 1 2 3 4 5 6 7 8 9 10 11,0 11,
10007:178,theater,0 1 2 3 4 5 6 7,0 7,
10007:179,chinese food,0 1 2 3 4 5 6 7 8 9 10 11 12,0 7 8 12,
10007:181,fast food,0 1 2 3 4 5 6 7 8 9,0 4 5 9,
