吉尔吉斯斯坦,KG,417,ky,ru,,
几内亚,GN,324,fr,,,
几内亚比绍,GW,624,pt,,,
加拿大,CA,124,en,fr,,
加纳,GH,288,en,,,
加蓬,GA,266,fr,en,,
柬埔寨,KH,116,km,en,fr,
捷克,CZ,203,cs,,,
津巴布韦,ZW,716,en,,,
喀麦隆,CM,120,fr,en,,
卡塔尔,QA,634,ar,,,
开曼群岛,KY,136,en,,,
科科斯群岛,CC,166,en,,,
科摩罗,KM,174,fr,ar,zdj,
科特迪瓦,CI,384,fr,,,
科威特,KW,414,ar,,,
克罗地亚,HR,191,hr,,,
肯尼亚,KE,404,sw,en,,
库克群岛,CK,184,en,mi,,
拉脱维亚,LV,428,lv,,,
莱索托,LS,426,en,st,,
老挝,LA,418,lo,,,
黎巴嫩,LB,422,ar,,,
立陶宛,LT,440,lt,,,
利比里亚,LR,430,en,,,
利比亚,LY,434,ar,,,
列支敦士登,LI,438,de,,,
留尼汪,RE,638,fr,,,
卢森堡,LU,442,lb,de,fr,
卢旺达,RW,646,rw,fr,en,
罗马尼亚,RO,642,ro,,,
马达加斯加,MG,450,fr,mg,,
马恩岛,IM,833,en,gv,,
马尔代夫,MV,462,dv,en,,
马尔维纳斯群岛（福克兰）,FK,238,en,,,
马耳他,MT,470,mt,en,,
马拉维,MW,454,en,ny,,
马来西亚,MY,458,ms,en,,
马里,ML,466,fr,bm,,
马其顿,MK,807,mk,,,
马绍尔群岛,MH,584,en,mh,,
马提尼克,MQ,474,fr,,,
马约特,YT,175,fr,,,
毛里求斯,MU,480,en,,,
毛里塔尼亚,MR,478,ar,,,
美国,US,840,en,,,
美国本土外小岛屿,UM,581,en,,,
美属萨摩亚,AS,16,sm,en,,
美属维尔京群岛,VI,850,en,,,
蒙古,MN,496,mn,,,
蒙塞拉特岛,MS,500,en,,,
孟加拉,BD,50,bn,,,
密克罗尼西亚联邦,FM,583,en,,,
缅甸,MM,104,my,,,
摩尔多瓦,MD,498,mo,,,
摩洛哥,MA,504,ar,,,
摩纳哥,MC,492,fr,,,
莫桑比克,MZ,508,pt,,,
墨西哥,MX,484,es,,,
纳米比亚,NA,516,en,de,,
南非,ZA,710,af,en,,
南极洲,AQ,10,en,,,
南乔治亚岛和南桑威奇群岛,GS,239,en,,,
南苏丹,SS,728,en,,,
瑙鲁,NR,520,en,na,,
尼加拉瓜,NI,558,es,,,
尼泊尔,NP,524,ne,en,,
尼日尔,NE,562,fr,ha,,
尼日利亚,NG,566,en,,,
纽埃,NU,570,en,niu,,
挪威,NO,578,no,,,
诺福克岛,NF,574,en,,,
帕劳,PW,585,en,pau,,
皮特凯恩群岛,PN,612,en,pih,,
葡萄牙,PT,620,pt,,,
日本,JP,392,ja,,,
瑞典,SE,752,sv,,,
瑞士,CH,756,de,fr,it,rm
萨尔瓦多,SV,222,es,,,
萨摩亚,WS,882,sm,en,,
塞尔维亚,RS,688,sr,,,
塞拉利昂,SL,694,en,,,
塞内加尔,SN,686,fr,,,
塞浦路斯,CY,196,el,tr,,
塞舌尔,SC,690,ht,fr,en,
沙特阿拉伯,SA,682,ar,en,,
圣巴泰勒米岛,BL,652,fr,,,
圣诞岛,CX,162,en,zh-Hant,,
圣多美和普林西比,ST,678,pt,,,
圣赫勒拿,SH,654,en,,,
圣基茨和尼维斯,KN,659,en,,,
圣卢西亚,LC,662,en,,,
圣马力诺,SM,674,it,,,
圣皮埃尔和密克隆,PM,666,fr,,,
圣文森特和格林纳丁斯,VC,670,en,,,
斯里兰卡,LK,144,si,ta,,
斯洛伐克,SK,703,sk,,,
斯洛文尼亚,SI,705,sl,,,
斯瓦尔巴群岛和扬马延岛,SJ,744,no,,,
斯威士兰,SZ,748,en,ss,,
苏丹,SD,729,ar,en,,
苏里南,SR,740,nl,,,
所罗门群岛,SB,90,en,,,
索马里,SO,706,so,ar,en,
塔吉克斯坦,TJ,762,tg,ru,,
泰国,TH,764,th,,,
坦桑尼亚,TZ,834,sw,en,,
汤加,TO,776,en,to,,
特克斯和凯科斯群岛,TC,796,en,,,
特立尼达和多巴哥,TT,780,en,,,
突尼斯,TN,788,ar,fr,,
图瓦卢,TV,798,en,,,
土耳其,TR,792,tr,,,
土库曼斯坦,TM,795,tk,,,
托克劳,TK,772,en,tkl,,
瓦利斯和富图纳,WF,876,fr,,,
瓦努阿图,VU,548,en,fr,bi,
危地马拉,GT,320,es,,,
委内瑞拉,VE,862,es,,,
文莱,BN,96,ms,,,
乌干达,UG,800,en,sw,,
乌克兰,UA,804,uk,,,
乌拉圭,UY,858,es,,,
乌兹别克斯坦,UZ,860,uz,,,
西班牙,ES,724,es,,,
西撒哈拉,EH,732,ar,,,
希腊,GR,300,el,,,
中国香港（地区）,HK,344,zh-Hant,zh,,
新加坡,SG,702,en,zh,ms,ta
新喀里多尼亚,NC,540,fr,,,
新西兰,NZ,554,en,,,
匈牙利,HU,348,hu,,,
叙利亚,SY,760,ar,en,fr,
牙买加,JM,388,en,,,
亚美尼亚,AM,51,hy,,,
也门,YE,887,ar,,,
伊拉克,IQ,368,ar,ku,,
伊朗,IR,364,fa,,,
以色列,IL,376,he,ar,,
意大利,IT,380,it,,,
印度,IN,356,hi,en,,
印尼,ID,360,id,,,
英国,GB,826,en,,,
英属维尔京群岛,VG,92,en,es,ht,
英属印度洋领地,IO,86,en,,,
约旦,JO,400,ar,,,
越南,VN,704,vi,,,
赞比亚,ZM,894,en,,,
泽西岛,JE,832,en,fr,,
乍得,TD,148,fr,ar,,
直布罗陀,GI,292,en,es,,
智利,CL,152,es,,,
中非,CF,140,fr,,,
中华人民共和国,CN,156,zh,zh-Hans,zh-Hant,
中国台湾（地区）,TW,158,zh-Hant,zh,,
